-0.093733	-0.172499	0
-0.079699	-0.157798	0
-0.066009	-0.142908	0
-0.039662	-0.112564	0
-0.014625	-0.081503	0
0.009207	-0.049784	0
0.03166	-0.017311	0
0.052598	0.015991	0
0.071297	0.050518	0
0.079509	0.068402	0
0.086826	0.086777	0
0.093109	0.105716	0
0.098048	0.12539	0
0.099898	0.135567	0
0.101058	0.146119	0
0.101151	0.157256	0
0.100233	0.163352	0
0.094181	0.172254	0
0.0869	0.170642	0
0.082754	0.167315	0
0.076185	0.159719	0
0.070615	0.151577	0
0.065492	0.143191	0
0.056005	0.126003	0
0.047069	0.108514	0
0.038478	0.090836	0
0.029887	0.073159	0
0.012635	0.037841	0
-0.004823	0.002637	0
-0.022281	-0.032567	0
-0.039912	-0.067677	0
-0.057852	-0.102618	0
-0.076103	-0.137389	0
-0.085314	-0.154728	0
-0.094629	-0.172009	0
