-0.167018	-0.174281	0
-0.145612	-0.161385	0
-0.124554	-0.148154	0
-0.08348	-0.120686	0
-0.043728	-0.091946	0
-0.005192	-0.062033	0
0.031953	-0.030781	0
0.067568	0.001945	0
0.100923	0.036848	0
0.116453	0.055405	0
0.131079	0.074833	0
0.144662	0.095265	0
0.156889	0.117004	0
0.162377	0.128476	0
0.167169	0.140619	0
0.170884	0.153799	0
0.171767	0.161327	0
0.16747	0.173846	0
0.158312	0.174289	0
0.152317	0.171685	0
0.142066	0.164801	0
0.132823	0.156946	0
0.124032	0.148656	0
0.107216	0.131338	0
0.090955	0.113485	0
0.075043	0.095296	0
0.05913	0.077108	0
0.027236	0.040798	0
-0.004868	0.004689	0
-0.036971	-0.03142	0
-0.069248	-0.067361	0
-0.101838	-0.103001	0
-0.134741	-0.13834	0
-0.15128	-0.155925	0
-0.167922	-0.173411	0
